Rating,Parent Asin,Main Category,Product Title,Retailer,Review,Word Count,Sentence Count
1,B001GUOQ3K,Grocery,"HERSHEY'S Kisses Chocolate Candy, 40 Ounce Bulk Candy",Hershey's Kisses,DISAPPOINTED All the candy was Melted. I love chocolate but when it arrived in an insulated cold bag they were all melted. I have ordered chocolate before and this has never happened. Disappointed,33,4
1,B0B3JDX2R5,Grocery,"Hint Water Peach, Pure Water Infused with Peach, Zero Sugar, Zero Calories, Zero Sweeteners, Zero Preservatives, Zero Artificial Flavors,16 Fl Oz (Pack of 12)",Hint,"Gave me stomach cramps - what’s in this? I developed extremely serious stomach pains as I drank my second bottle. This only happens to me when certain ingredients are present. However, this product label only indicates “other natural ingredients” - but nothing specific. I never drank another bottle and just threw the rest away.When I tried to contact the company website and went thru the whole question process & verifying I wasn’t a robot blah blah - I was suddenly kicked off due to some vague technical reason.I really liked the premise & the taste of this water after trying a bottle at Whole Foods. I was hoping to narrow down what is in here that might not be in one of their other flavors.A complete list of ALL ingredients isn’t asking a lot. Inability to reach a company only makes it worse. And I really wanted to make this water a part of my regular diet.",152,8
1,B07DQRQW58,Grocery,"Gastone Lago Party Wafers Lemon Cream Filling 8.82 oz, 250g (Pack of 2) (Lemon, 2-Pack)",Gastone Lago,There is no lemon flavor. I thought I'd try this brand because the one I like went up $5. But there really is no flavor to the cookie. It's hard to tell what favor it is beyond just a creamy taste. I'm very disappointed.,44,5
1,B0BXRD5TX4,Grocery,"Dried Rose Buds Tea 50g(1.76 Oz.), Non-GMO 100% Pure and Fresh Dried Flower Rose Tea",T'SMOMENT,"Stale. I really like butterfly pea flower tea, but this wasn't good. It's stale and flavorless",16,3
1,B07GBHKW1Z,Grocery,"BEN'S ORIGINAL Ready Rice Butter and Garlic Flavored Rice, Easy Dinner Side, 8.8 oz Pouch (Pack of 6)",BEN'S ORIGINAL,Box came with shipping tape and missing 3 packets. Only 9 bags instead of the 12 that the package says. Box had tape and looked previously opened.,27,3
1,B0BN8PJNW4,Grocery,"gimMe - Sea Salt - 6 Count - Organic Roasted Seaweed Sheets - Keto, Vegan, Gluten Free - Great Source of Iodine & Omega 3’s - Healthy On-The-Go Snack for Kids Adults",gimMe,"Not for me. Bought it out of curiosity. Got the box, super light. Opened it, got several packets. Opened a packet, and noticed how absolutely thin and transparent the seaweed is. Took a bite, and instantly gagged. The taste is just not for me. Probably not for many people. Definitely not buying anything with seaweed in it, ever again.",59,9
1,B07S7TR88J,Grocery,"YUHO Pickled Sushi Ginger 24 Oz Japanese White Gari Sushi Ginger Fat Free, Sugar Free, Kosher, BRC, No MSG, Low cal – 2 Jars of 12 oz",YUHO,Packaging and ingredient issues. One of the bottles was partially open with product leaking inside the shipping bag. Products that it's kosher but seeing the ingredients having artificial sweeteners preservatives and red dye 40. Product is not able to be return per Amazon rules. Will just throw away,48,5
1,B003D87BXU,Grocery,"Fiber One 90 Calorie Bar, Lemon 5.34 Oz - 3 Pack",Fiber One,"Pretend this is a zero star review. These fiber bars are noxious. They left a heavy, foul taste in my mouth that stubbornly remained despite several mints and brushing my teeth. Ordinarily, if I buy a product I simply don't like, I'd give away the rest because there's probably someone who would enjoy what I don't. With this box of stinkers, however, I'd be embarrassed for anyone else to be subjected to their horrible taste.",75,5
1,B083N45Z68,Grocery,StarKist Chicken Creations BOLD Buffalo Style - 2.6 oz Pouch,StarKist,"Dont do it! not good in any way.I've tried all starkist packaged chicken and this is not good.Not sure what you use this for, but DON'T!!The BBQ sauce is too sweet and the chicken is just inedible mess.",39,3
1,B00VZB1EHQ,Grocery,MARS Chocolate Caramel Lovers Fun Size Candy Bars Variety Mix 37.7-Ounce 60-Piece Bag,Mars,Disappointed- Melted & Stale. Was excited to find this item because we are all caramel lovers in my home. Opening the bag I could tell that ALL the candy bars were misshapen which means at one point they had all melted. Because of this it's difficult to open wrappers because they are CARAMEL. Tried a Twix and a Simply Caramel and threw both away because the Simply Caramel was chalky looking plus they were crunchy and STALE. I double checked expiration date and its Feb 2020.So disapppinted.,87,7
1,B0C3W13X11,Grocery,"Gerber Mealtime for Toddler Macaroni & Cheese with Side of Seasoned Peas & Carrots, 6.6 Ounce (Pack of 8)",Gerber,"Don't buy this Gerber food, or purchase baby foods from Amazon. 10 pack beer in gravy. Green color with foul odor and not refundable or credit back. Shame on Gerber and Amazon. DO NOT purchase this product from Amazon and find another baby food vendor. Poor standards, no quality control!",50,5
1,B0C6FMXRJ2,Grocery,"Pacific Foods Organic Free Range Chicken Broth, Low Sodium, 8 oz, 4 Count",Pacific Foods,It Is not 100 percent chicken broth.! Did not like at all! Contains onion substance so didn’t use at all.,20,3
1,B00H40F3NI,Grocery,"Blue Green Agave Organic Nectar Packets, Raw Blue, 9.8 Ounce (Pack of 6)",Blue Green Agave,plastic taste and not easy to open. packets came stuck together and there appears to be no knotch to tear open. so one needs scissors or to tear open with teeth.agave nectar takes like plastic.so not user friendly and doesnt taste right. will not be buying again,47,1
1,B085K98Q1T,Grocery,"Keebler PB & J Peanut Butter and Jelly Sandwich Crackers, 1.8 oz packs (PB & J, 12 Count)",Keebler,"Dry, short on peanut butter, no jelly, no flavor. Dry, scant on peanut butter, no jelly, no flavor.I would never buy again, and had to donate to a food bank because no returns. Checked expiry date but goes to May 2023. Was looking for non-sugary snack for family, teens, kids but NO ONE will eat them. Full size Ritz crackers with peanut butter and cheese are the only edible choice.",71,5
1,B07N625S2G,Grocery,"Frontier Ground Bottle, Chipotle, 2.15 Ounce",Frontier,AWFUL!!! Not the same as it used to be-. I have used this for a long time and the last 2 jars of Chipotle powder tasted Awful. Way too hot spicy with ZERO SMOKE FLAVOR. They sent me a replacement but it also tasted the same “Awful”. I normally have used it daily in veggies and lentils and on just about everything. I love hot spices but this has zero flavor and just a tiny pinch ruins a meal while burning my tongue and again I must stress NO flavor like it used to have. I don’t know if they messed up a month long batch but I am now seeking a different brand. This was my FAV so i am very disappointed.,123,9
1,B0B57VWKPP,Grocery,"HIPPEAS Organic Chickpea Puffs + Bohemian Barbeque |Vegan, Gluten-Free, Crunchy, Protein Snacks, 1.5 Ounce (Pack of 12)",HIPPEAS,"Bitter and awful. We all have different tastes but if you expect this to taste anything like a cheese curl, you will be let down. It tasted like a bitter, raw green veggie. Not like a green been or carrot, more like the pretty plant in the back yard. The cheese only served to make it more difficult to get the taste out of my mouth. Thank you Amazon, for the full refund.",73,6
1,B07VV7T465,Grocery,"Taylors of Harrogate Green Tea with Jasmine, 20 Count (Pack of 6)",Taylors of Harrogate,Taste sour and makes the milk seem curdled. Don’t buy this! I added half-n-half to this tea like I do most of my teas and the milk look like it curdled. Thinking my milk was bad I threw it out. I tried again with a fresh half-n-half and it did the same thing. It’s the tea!! Don’t know what makes the tea make my milk like that but it’s not appetizing and weird.,77,7
1,B0C679BSQ8,Grocery,"Pretzel Salt for Soft Pretzels, Food Grade Salt for Pretzels and Bagels, Heat Resistant Course Sea Salt for Soft Pretzel Dough, 1 lb Shaker (2-Pack) - Sea Salt Superstore",Sea Salt Superstore,Awful product. Why the heck I can’t return this item is beyond me and I’m very unhappy about it. I didn’t even improve this purchase. Will file a claim with my credit card company,34,4
1,B0B9C9DQYR,Grocery,"Amazon Brand - Solimo Medium Roast Coffee Pods, Donut Style, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",Solimo,Not strong at all. I don’t usually like bold coffee but this one is extremely mild. Not worth it.,19,3
1,B07GC75RYN,Health & Personal Care,"think!, Vegan/Plant Based High Protein Bars - Sea Salt Almond Chocolate, 13g Protein, 5g Sugar, No Artificial Sweeteners, Gluten Free, Non GMO Project Verified, 1.94oz bar",think!,"Watch out for the sugar alcohols in these - nasty. These contain Maltitol, the sugar alcohol which I am told is the least-well tolerated. I must agree. I seem to be fine with other types, but these make my stomach hurt and feel gassy and terrible. This is the first time I have experienced this with a protein bar. Natural sugars are far better than this particularly nasty stuff. Would give this zero stars if I could for ruining my day, twice (I gave it another chance, thinking it might have been something else, but the second time I ate this and nothing else to check, and that was definitely not a good day).",114,7
1,B07PW9PHNZ,Grocery,"Mio Energy Liquid Water Enhancer, Wicked Blue Citrus, 1.62 OZ, 4-Pack",Mio,Did not feel an energy boost. Didn’t feel an energy boost from this,13,2
1,B07VV7T465,Grocery,"Taylors of Harrogate Green Tea with Jasmine, 20 Count (Pack of 6)",Taylors of Harrogate,The bags' contents appear more like sawdust shavings than tea leaves. This tea loses its flavor quickly. The bags' contents appear more like sawdust shavings than tea leaves. Stick to real leaves! Disappointing.,33,5
1,B003J8QGIA,Grocery,"ProtiDIET Concentrated Drink Mix, Peach-Mango, 7ct",ProtiDIET,"Right in and right out! Ew my gosh this was awful.I was so hoping to like it.Sharp, harsh, & acidic flavor, & I could not keep it in my mouth more than a second.Tastes like neither peach nor mango to me.I could not swallow more than a tiny sip. It felt burny on my throat and just had an awful flavor.I love, when I am not post-op, to eat both peaches and mangos, so this truly disappointed me.More power to the folks who can drink it. I cannot.",87,4
1,B014W0E0HM,Grocery,"Armour Star Cream Corn Starch, 14.8 oz. (Pack of 12)",Armour,Product Everywhere. Disappointed that it was exploded all over the box.,11,2
1,B00LXV78GE,Grocery,"Gardein Plant-Based Beefless Be'f Burger Frozen Patties, Vegan, Frozen, 12 oz. 4-Count",gardein,"they feel apart and flavor was not there like other brands I have tried. Did not care for these, they feel apart and flavor was not there like other brands I have tried. Will not buy this brand again.",39,3
1,B0C1M52GNT,Grocery,Central Grocery Olive Salad 32 oz (Pack of 1),CENTRAL GROCERY Co.,"Very disappointed. Two issues with this order1. I ordered TWO jars, yet only received one.2. The ONE jar I did receive was damaged and the oil leaked everywhere.I'm really more upset about receiving only one jar and not the two that were ordered. The box that it was shipped in was just big enough for one jar, there's no way two could have fit.These items were ordered for a Mardi Gras Birthday Party, so there is not enough time to order again.Very disappointed.",84,5
1,B07482JMJS,Grocery,"4 Pack Assortment Low Carb Pasta, Fettuccine, Rotini, Penne, and Elbows, Great Low Carb Bread Company",Great Low Carb Bread Co.,Don't even THINK about buying this product! The headline says it all! The absolute worst pasta we have ever even tried.,21,3
1,B07ZQ937VP,Grocery,"Neighborhood Social, Taste of Home Bold Dark Roast Gourmet Coffee, 80 count Single Serve Cups",Neighborhood Social,Taste like any cheap kuerig pods you can buy in chain stores. It said bold but it really has little taste. I would not purchase again.,26,3
1,B005UY77W0,Grocery,"Dynasty Canned Whole Water Chestnuts, 8-Ounce (Pack of 12)",Dynasty,Product tastes like the can. I purchase these because I love water chestnuts but this was terrible it tasted just like that metal can all will have to go in the trash. They are very old and tastes like the can,41,3
1,B07TDNBV2C,Grocery,Crushed Red Pepper Flakes 10 Pound Bulk Value Pack - Chili Flakes - by Spicy World,Spicy World,Ok flakes without the Spicy love. not as spicy as advertised. more pepper required.,14,1
1,B0C6G3QNK4,Grocery,"365 by Whole Foods Market, Chip Kettle BBQ Texas, 10 Ounce",365 by Whole Foods Market,"Chips were burnt, flat and definitely NOT the kettle cooked variety. Chips were burnt and were definitely NOT the kettle cooked variety. They were flavorless, flat potato chips (not the kettle cooked variety). They had been overcooked to the point that they were burnt.I had to throw them in the garage.I DO NOT recommend.",54,4
